waypoint1	waypoint2	distance_m	duration_s
Terlingua, TX	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1472343	49091
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	648374	24059
Austin, TX	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1869308	67127
North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	Seattle, WA	1980076	67172
Kansas City, MO	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	976640	33161
Yakima, WA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3709866	120401
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Taos Pueblo, NM	2450474	82951
Tulsa, OK	Anasazi State Park Museum	1888279	62476
Tulsa, OK	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	738095	25261
Tahoe City, CA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1174771	43895
Manzanar, Manzanar Reward Rd, California	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	798248	30279
Oklahoma City, OK	Anasazi State Park Museum	1684556	59774
Black Canyon of the Gunnison National Park, Montrose, CO	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	837948	31470
Charleston, SC	Anasazi State Park Museum	3516288	115642
Bandon, OR	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3974884	133196
Great Sand Dunes Visitor Center, Mosca, CO	Taos Pueblo, NM	176095	7427
North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	Silverton, CO	697790	27973
Indianola, MS	Taos Pueblo, NM	1660781	59507
St. Louis, MO	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2425184	82246
Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	Taos Pueblo, NM	1637010	56215
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3138645	103121
Olympia, WA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	4001592	129908
Tulsa, OK	Taos Pueblo, NM	961149	36558
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Anasazi State Park Museum	514346	22976
Tahoe City, CA	Taos Pueblo, NM	1861728	65942
Glacier National Park	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3222205	108229
Spokane, WA	Taos Pueblo, NM	2221074	72818
Bryce Canyon National Park Visitor Center, Bryce, UT	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2460233	82860
Las Vegas, NV	Taos Pueblo, NM	1134634	37809
Nashville, TN	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	692032	24880
Asheville, NC	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3184048	107527
Spokane, WA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1789025	59700
Fajada Butte View Point, Nageezi, NM 87037	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1828555	61859
Savannah, GA	Anasazi State Park Museum	3429298	111947
Bryce Canyon National Park Visitor Center, Bryce, UT	Taos Pueblo, NM	953687	36578
Black Canyon of the Gunnison National Park, Montrose, CO	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1942295	67951
Richmond, VA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3699106	123727
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Taos Pueblo, NM	1832807	63452
Terlingua, TX	Anasazi State Park Museum	1734689	62987
Atlanta, GA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	763893	25144
Richmond, VA	Anasazi State Park Museum	3461166	113697
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Anasazi State Park Museum	1174319	43990
Lincoln, NE	Taos Pueblo, NM	1126801	40475
Lincoln, NE	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1889478	63982
Carlsbad, NM	Taos Pueblo, NM	557404	20786
Atlanta, GA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2986521	100934
Tupelo, MS	Anasazi State Park Museum	2706665	89440
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3056551	103842
Lafayette, LA	Anasazi State Park Museum	2484336	85719
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3122817	107659
Kansas City, MO	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2078758	69709
Rapid City, SD	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2110688	68546
Carlsbad, NM	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1203084	43992
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1679929	64180
Black Canyon of the Gunnison National Park, Montrose, CO	Anasazi State Park Museum	503643	19703
Charleston, SC	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1257933	41691
Linville, NC	Taos Pueblo, NM	2455745	85024
Lincoln, NE	Anasazi State Park Museum	1555173	52215
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2696548	87983
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2009938	68544
Savannah, GA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3384119	113429
Memphis, TN	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2371956	80624
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Anasazi State Park Museum	1050088	42675
Taos Pueblo, NM	Anasazi State Park Museum	872601	36234
Tillamook, OR	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3949370	129207
San Antonio, TX	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	907102	31352
Richmond, VA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1619408	52837
Manzanar, Manzanar Reward Rd, California	Taos Pueblo, NM	1561800	51543
Kansas City, MO	Anasazi State Park Museum	1744453	57942
Charleston, SC	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3480561	117482
Dallas, TX	Taos Pueblo, NM	1093756	38459
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Taos Pueblo, NM	1769237	60376
Tillamook, OR	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1978940	68370
San Antonio, TX	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1899204	66825
North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	Anasazi State Park Museum	366977	16771
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Taos Pueblo, NM	897161	34985
Tillamook, OR	Anasazi State Park Museum	1749296	60204
Albuquerque, NM	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	757231	29171
Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	Anasazi State Park Museum	2399118	83641
Bryce Canyon National Park Visitor Center, Bryce, UT	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	254697	11547
Chimayo, NM	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1620224	53620
Rapid City, SD	Taos Pueblo, NM	1100193	38267
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Anasazi State Park Museum	2975638	98528
Chattanooga, TN	Taos Pueblo, NM	2139869	73428
Oklahoma City, OK	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1622387	56662
Manzanar, Manzanar Reward Rd, California	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2931207	94288
Albuquerque, NM	Taos Pueblo, NM	219396	9019
Tupelo, MS	Taos Pueblo, NM	1766153	61972
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2403707	81267
Lincoln, NE	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1289166	44087
Taos Pueblo, NM	Silverton, CO	401728	18496
Yakima, WA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1739435	59564
Austin, TX	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	781009	27086
Black Canyon of the Gunnison National Park, Montrose, CO	Taos Pueblo, NM	441995	18227
Chattanooga, TN	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2917596	98158
Yellowstone National Park Visitor Center	Anasazi State Park Museum	965314	34405
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Anasazi State Park Museum	3041904	102345
Kansas City, MO	Taos Pueblo, NM	1200038	40902
Rapid City, SD	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1671297	58766
St. Louis, MO	Anasazi State Park Museum	2141259	70880
Vicksburg, MS	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	86810	3752
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Taos Pueblo, NM	412147	19677
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Anasazi State Park Museum	938006	35768
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Taos Pueblo, NM	1669582	56830
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	945381	35072
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1000021	33790
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1670171	55262
Tahoe City, CA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3304176	108323
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3819881	125695
Glacier National Park	Anasazi State Park Museum	1446611	49149
St. Louis, MO	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	808416	28625
Tupelo, MS	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2543880	86703
Silverton, CO	Anasazi State Park Museum	579219	23697
Carlsbad, NM	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1280603	42081
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1209419	44912
Yakima, WA	Taos Pueblo, NM	2059637	73689
Spokane, WA	Anasazi State Park Museum	1559382	51534
Indianola, MS	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2438507	84238
Savannah, GA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1161492	37638
Oklahoma City, OK	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	842538	28471
Great Sand Dunes Visitor Center, Mosca, CO	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	898552	36249
Asheville, NC	Taos Pueblo, NM	2406321	82796
Las Vegas, NV	Anasazi State Park Museum	531942	19358
Olympia, WA	Anasazi State Park Museum	1801517	60904
Glacier National Park	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2471989	81487
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Tulsa, OK	1052212	35410
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Seattle, WA	2793263	95115
Bryce Canyon National Park Visitor Center, Bryce, UT	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1361845	48047
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Memphis, TN	1501661	49641
Tahoe City, CA	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2205788	73509
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	San Antonio, TX	737346	23824
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Anasazi State Park Museum	1301586	48655
Yakima, WA	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2552966	87289
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Lafayette, LA	1397746	44971
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1598160	53170
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1960376	65586
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1319708	43724
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	St. Louis, MO	1683444	55704
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Asheville, NC	2313863	76578
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Linville, NC	2363841	78781
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Charleston, SC	2527383	82561
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1239417	45543
Chimayo, NM	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	521849	18783
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1947185	64006
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Rapid City, SD	1542129	53911
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Yellowstone National Park Visitor Center	1860333	67045
Austin, TX	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	777518	26317
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Atlanta, GA	2032807	66131
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1716046	62496
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Indianola, MS	1453938	49650
Tillamook, OR	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2792470	96095
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Lincoln, NE	1448522	51321
Albuquerque, NM	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	486096	16764
Olympia, WA	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2844691	96796
Las Vegas, NV	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1405653	45740
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2417687	78309
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Silverton, CO	905455	32894
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Tupelo, MS	1671933	55577
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Richmond, VA	2828746	92668
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Kansas City, MO	1449693	47450
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Oklahoma City, OK	884395	30141
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Dallas, TX	775737	26274
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Chattanooga, TN	2036255	66113
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Savannah, GA	2430667	78556
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Fajada Butte View Point, Nageezi, NM 87037	730078	27346
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1305272	46805
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2186086	72791
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2293212	75764
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Taos Pueblo, NM	593737	22337
Charlottesville, VA	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2717120	89342
Manzanar, Manzanar Reward Rd, California	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1759724	57555
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Nashville, TN	1842444	60741
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	New Orleans, LA	1609766	52263
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Black Canyon of the Gunnison National Park, Montrose, CO	996989	37852
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2023946	68662
Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	911796	34050
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2623957	87125
Vicksburg, MS	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	1353991	44741
Spokane, WA	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2602556	87425
Bandon, OR	Carlsbad Caverns Visitor Center, Carlsbad Cavern Highway, Carlsbad, NM	2897864	95402
Prairie Creek Visitor Center, California	Las Vegas, NV	1319140	49033
Prairie Creek Visitor Center, California	Manzanar, Manzanar Reward Rd, California	1004138	39602
Patrick's Point State Park, Patricks Point Drive, Trinidad, CA	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	784320	31483
Patrick's Point State Park, Patricks Point Drive, Trinidad, CA	Manzanar, Manzanar Reward Rd, California	971907	38133
Patrick's Point State Park, Patricks Point Drive, Trinidad, CA	Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	772024	31076
Patrick's Point State Park, Patricks Point Drive, Trinidad, CA	Las Vegas, NV	1286909	47564
